State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,
New Jersey,108.9,109.9,116.4,112.8,122.7,122.1,121.3,122.9,118.7,122.5,122.3,119.7,119.8,121.2,123.7,128.5,121.4,128.9,126.6,109.6,113.9,114.2,103.6,107.4,113.3,111.6,110.9,102.4,108.2,,,,,,,
New Mexico,53.4,49.2,51.8,52.5,52.4,51.0,52.6,55.9,55.5,56.4,58.2,58.4,55.4,57.7,58.8,59.4,59.9,59.1,56.5,57.4,53.4,55.8,53.7,53.3,50.3,50.4,48.5,49.2,45.5,,,,,,,
New York,208.2,200.5,199.0,194.3,192.2,197.8,200.5,204.9,203.4,205.2,211.7,206.0,200.3,211.0,213.3,209.6,191.1,197.7,187.8,172.1,173.9,164.1,160.4,162.1,169.8,167.7,163.7,158.4,167.7,,,,,,,
North Carolina,111.6,111.4,121.8,127.4,122.6,129.0,141.0,143.5,142.8,141.2,149.4,144.3,146.0,147.3,150.6,154.9,149.3,155.2,149.8,133.6,143.7,129.2,121.8,125.5,127.9,121.4,120.9,116.5,119.5,,,,,,,
North Dakota,44.8,45.8,47.5,47.8,48.1,48.1,48.9,47.6,48.8,49.8,51.2,52.1,51.8,51.5,50.0,52.9,51.2,53.0,53.4,51.9,52.8,54.2,56.6,57.3,59.3,57.9,54.9,56.9,59.3,,,,,,,
Ohio,246.1,244.5,249.0,253.6,249.9,252.3,264.8,260.3,258.8,257.8,265.4,254.6,261.0,269.1,264.2,272.3,264.9,268.7,261.2,236.3,248.5,236.7,216.6,231.0,232.9,214.0,207.7,206.9,208.8,,,,,,,
Oklahoma,87.9,89.3,92.2,95.3,93.9,94.8,97.4,98.7,97.2,96.6,99.8,101.2,101.5,103.8,99.7,106.7,109.9,109.2,111.9,106.2,105.9,107.7,104.8,103.6,104.9,101.0,97.2,94.0,98.1,,,,,,,
Oregon,30.2,34.0,34.8,35.1,36.7,34.1,36.2,35.9,41.1,42.1,41.0,40.7,39.2,39.7,40.8,41.1,40.3,43.8,42.8,40.9,40.7,37.2,36.9,39.2,38.0,38.1,37.9,38.8,39.6,,,,,,,
Pennsylvania,263.9,256.3,265.1,268.9,266.2,268.7,274.7,275.9,264.9,263.3,276.4,263.3,270.1,274.0,276.7,280.0,274.2,277.0,268.7,243.7,255.7,248.4,237.5,247.4,247.1,230.7,217.8,217.9,221.6,,,,,,,
Rhode Island,8.9,10.8,13.1,10.9,12.9,12.1,13.6,13.6,13.9,13.2,11.7,12.3,11.7,11.5,10.9,11.2,10.5,11.1,10.7,11.2,11.0,11.0,10.5,10.2,10.6,10.9,9.7,10.1,11.2,,,,,,,
South Carolina,60.7,62.1,61.0,65.8,65.9,64.9,69.0,71.4,74.2,77.3,81.0,78.6,80.3,80.9,87.8,86.5,86.7,87.2,84.9,79.5,83.7,79.9,73.3,70.2,74.5,72.8,71.9,69.7,73.6,,,,,,,
South Dakota,11.9,11.6,11.7,12.4,13.0,12.8,12.8,13.3,12.9,13.5,14.2,13.5,13.8,13.8,13.8,13.3,13.4,13.9,15.0,14.8,15.1,14.7,15.0,15.5,15.5,14.3,15.0,14.7,15.6,,,,,,,
Tennessee,104.9,100.3,105.8,116.7,111.2,118.1,118.9,122.4,120.9,121.5,127.4,125.2,124.6,122.9,124.4,125.8,127.8,127.5,120.9,102.4,110.0,106.5,100.1,98.6,104.1,100.3,103.3,98.9,95.4,,,,,,,
Texas,578.4,574.2,578.3,594.9,597.5,600.2,645.2,667.8,674.8,655.4,676.2,671.0,683.2,678.4,677.8,651.1,649.8,649.5,620.7,583.3,620.6,638.3,626.3,657.5,664.1,659.7,663.8,678.9,701.9,,,,,,,
Utah,54.4,53.3,54.9,56.7,57.7,58.1,58.9,61.0,63.5,62.3,65.2,63.0,62.3,63.2,65.6,67.2,68.4,70.4,69.5,64.7,64.0,64.5,61.8,67.2,65.5,63.8,59.1,58.9,60.4,,,,,,,
Vermont,5.5,5.7,6.1,6.2,6.0,6.0,6.3,6.5,6.3,6.5,6.7,6.6,6.4,6.6,7.0,6.8,6.7,6.5,5.9,6.2,5.9,5.8,5.5,5.8,5.9,6.2,6.0,5.9,5.9,,,,,,,
Virginia,95.4,96.6,97.8,102.1,101.0,103.3,107.9,110.1,112.1,114.2,123.2,120.9,119.5,123.7,127.5,129.3,122.8,128.0,116.8,105.7,108.9,100.0,98.0,105.3,104.4,103.4,104.4,99.1,103.2,,,,,,,
Washington,66.4,67.3,73.8,70.8,75.1,73.3,76.2,75.5,76.1,76.2,78.1,77.9,71.6,73.6,74.9,75.9,73.4,78.9,75.5,73.4,73.5,68.6,68.3,73.1,71.6,73.4,79.1,79.3,78.9,,,,,,,
West Virginia,103.8,96.1,97.8,98.8,106.4,104.9,107.5,111.2,114.7,115.4,115.0,104.2,117.4,114.1,110.9,113.1,113.1,115.3,111.2,90.1,101.3,98.6,92.9,95.1,100.8,92.9,95.4,91.7,90.0,,,,,,,
Wisconsin,86.1,88.4,87.5,90.7,93.9,96.8,101.0,103.6,101.5,105.9,108.1,105.9,107.2,105.3,107.7,111.0,103.0,104.8,105.2,96.2,98.6,97.8,90.6,101.3,101.5,100.2,96.0,98.8,101.4,,,,,,,
Wyoming,57.1,55.4,61.2,58.2,60.4,58.2,59.6,58.9,63.8,62.4,63.3,63.6,62.4,64.3,64.2,63.5,64.3,66.7,67.2,63.9,65.5,64.3,66.6,68.8,65.8,63.9,61.2,62.7,63.7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
